input_id,address,city,state,postal_code,source_notes
1,350 Fifth Avenue,New York,NY,10118,landmark/commercial office building
2,1600 Pennsylvania Avenue NW,Washington,DC,20500,government/exclude case
3,1 Microsoft Way,Redmond,WA,98052,business headquarters
4,1 Infinite Loop,Cupertino,CA,95014,business office/corporate campus
5,4059 Mt Lee Dr,Los Angeles,CA,90068,landmark/non-business case
6,500 S Buena Vista St,Burbank,CA,91521,business/media studio case
7,600 Montgomery St,San Francisco,CA,94111,ambiguous commercial address
8,124 Conch St,Bikini Bottom,CA,99999,deliberately invalid/test failure case
9,1 Dr Carlton B Goodlett Pl,San Francisco,CA,94102,city government building/exclude case
10,1000 Fifth Avenue,New York,NY,10028,museum/non-cold-call case
11,1701 N Congress Ave,Austin,TX,78701,state government building/exclude case
12,1100 Congress Ave,Austin,TX,78701,state government building/exclude case
13,450 Serra Mall,Stanford,CA,94305,university/school case
14,525 E 68th St,New York,NY,10065,hospital/healthcare case
15,455 N Rexford Dr,Beverly Hills,CA,90210,city government building/exclude case
